,tweet_preprocessing
165,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan 
166,kelanjutan dana sayaa btuh uang bayar angsuran 
167,salah kode unik udh nungfu disuruh nungfu brpa woy 
168,salah kode unik udh nungfu disuruh nungfu brpa woy 
169,order pomade langsung gt gt gt bukalapak
170,order pomade langsung gt gt gt bukalapak
171,mudah sahabat pilih program program rumah zakat langsung bukalapak
172,mudah sahabat pilih program program rumah zakat langsung bukalapak
173,bukalapak undang gue lol sesuai target audience nya 
174,kumpulan novel fiksi import bhs inggris best seller in maret
175,dah kerja bukalapak tp gapernah post 
176,pelapak dirugikan cancel orderan persetujuan pelaâ 
177,pelapak dirugikan cancel orderan persetujuan pela 
178,marketplace konyol yg
179,marketplace konyol yg
180,gak ngebadut ya syopii sampe gua pindah haluan bukalapak 
181,gk dibls keluhan
182,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaâ 
183,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak diba 
184,proses semoga bertahan dgn membatalkan transaksi yg sdh diproâ 
185,proses semoga bertahan dgn membatalkan transaksi yg sdh dipro 
186,netijen please do your magic bantu jualan gue bukalapak yuk belinya 
187,netijen please do your magic bantu jualan gue bukalapak yuk belinya 
188,jual bukalapak carousel deh cepet lakunya
189,jual bukalapak carousel deh cepet lakunya
190,loopers cus streaming internetan lancar pake kartu perdana internet telkomsel beli aja d 
191,memiliki bukti perbaikan pasien signifikanâ 
192,memiliki bukti perbaikan pasien signifikan 
193,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan terlebihâ 
194,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan 
195,saksikan live streaming leadership talks strategi perjuangan perusahaan era pandemic sebentâ 
196,pembeli gk dihubungi aja transaksi laporkan viralkan
197,pembeli gk dihubungi aja transaksi laporkan viralkan
198,tersedia jg bukalapak shopee toped amp wa bro
199,kak maaf banget kendalanya bella cek kendala kakak bella bantu sampaikanâ 
200,kak maaf banget kendalanya bella cek kendala kakak bella bantu 
201,gamenang beli mmm gatau sih msti prcya enggaðÿ bantuin bukalapak sanaâ 
202,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program tâ 
203,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program t 
204,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja pakâ 
205,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja 
206,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program turnamenâ 
207,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program turnamen 
208,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
209,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
210,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku 
211,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
212,pas banget doyan aktivitas media digital streaming film sampe nge game kitaâ 
213,pas banget doyan aktivitas media digital streaming film sampe nge game 
214,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
215,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
216,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up gameâ 
217,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up game 
218,dorong industri game bukalapak hadirkan program turnamen asik
